Dates,Price
23/12/2011,1075.8
30/12/2011,1084.72
06/01/2012,1114.96
13/01/2012,1166.02
20/01/2012,1174.93
27/01/2012,1203.4
03/02/2012,1251.92
10/02/2012,1235.11
17/02/2012,1235.62
24/02/2012,1240.76
02/03/2012,1245.41
09/03/2012,1240.38
16/03/2012,1255.24
23/03/2012,1265.41
30/03/2012,1281.11
06/04/2012,1286.39
13/04/2012,1226.94
20/04/2012,1266.72
27/04/2012,1308.96
04/05/2012,1265.03
11/05/2012,1313.48
18/05/2012,1251.04
25/05/2012,1299.9
01/06/2012,1240.98
08/06/2012,1283.53
15/06/2012,1299.32
22/06/2012,1338.44
29/06/2012,1351.63
06/07/2012,1376.08
13/07/2012,1370.18
20/07/2012,1381.33
27/07/2012,1433.22
03/08/2012,1378.08
10/08/2012,1383.04
17/08/2012,1384.77
24/08/2012,1412.99
31/08/2012,1417.41
07/09/2012,1464.59
14/09/2012,1473.47
21/09/2012,1504.51
28/09/2012,1486.16
05/10/2012,1533.01
12/10/2012,1476.95
19/10/2012,1454.4
26/10/2012,1408.41
02/11/2012,1366.15
09/11/2012,1355.8
16/11/2012,1371.32
23/11/2012,1440.73
30/11/2012,1446.16
07/12/2012,1428.6
14/12/2012,1440.86
21/12/2012,1441.12
28/12/2012,1407.82
04/01/2013,1487.92
11/01/2013,1517.88
18/01/2013,1510.05
25/01/2013,1525.18
01/02/2013,1542.64
08/02/2013,1530.33
15/02/2013,1520.04
22/02/2013,1523.5
01/03/2013,1559.79
08/03/2013,1624.73
15/03/2013,1627.67
22/03/2013,1627.76
29/03/2013,1669.28
05/04/2013,1669.67
12/04/2013,1764.82
19/04/2013,1800.82
26/04/2013,1806.34
03/05/2013,1844.03
10/05/2013,1877.76
17/05/2013,1898.4
24/05/2013,1887.79
31/05/2013,1872.09
07/06/2013,1870.66
14/06/2013,1832.8
21/06/2013,1758.53
28/06/2013,1813.15
05/07/2013,1900.59
12/07/2013,2017.25
19/07/2013,2036.64
26/07/2013,2051.67
02/08/2013,2097.9
09/08/2013,2040.08
16/08/2013,1962.12
23/08/2013,2017.05
30/08/2013,2022.82
06/09/2013,2104.92
13/09/2013,2165.72
20/09/2013,2194.05
27/09/2013,2201.67
04/10/2013,2219.23
11/10/2013,2099.52
18/10/2013,2158.43
25/10/2013,2210.39
01/11/2013,2154.32
08/11/2013,2133.65
15/11/2013,2216.24
22/11/2013,2304.93
29/11/2013,2340
06/12/2013,2320.2
13/12/2013,2252.05
20/12/2013,2333.75
27/12/2013,2359.88
03/01/2014,2361.62
10/01/2014,2491.66
17/01/2014,2586.27
24/01/2014,2550.55
31/01/2014,2568.79
07/02/2014,2572.51
14/02/2014,2692.56
21/02/2014,2808.89
28/02/2014,2764.86
07/03/2014,2709.5
14/03/2014,2651.49
21/03/2014,2577.21
28/03/2014,2396.36
04/04/2014,2356.6
11/04/2014,2251.53
18/04/2014,2320.76
25/04/2014,2341.43
02/05/2014,2392.81
09/05/2014,2364.15
16/05/2014,2385.36
23/05/2014,2450.48
30/05/2014,2503.62
06/06/2014,2570.6
13/06/2014,2587.2
20/06/2014,2668.35
27/06/2014,2682.55
04/07/2014,2779.48
11/07/2014,2689.34
18/07/2014,2620.71
25/07/2014,2661.62
01/08/2014,2619.24
08/08/2014,2632.68
15/08/2014,2754.97
22/08/2014,2783.48
29/08/2014,2892.71
05/09/2014,2831.61
12/09/2014,2823.51
19/09/2014,2879.62
26/09/2014,2891.72
03/10/2014,2878.61
10/10/2014,2744.79
17/10/2014,2775.2
24/10/2014,3020.25
31/10/2014,3102.73
07/11/2014,3036.52
14/11/2014,3014.99
21/11/2014,3083.28
28/11/2014,3179.64
05/12/2014,3227.72
12/12/2014,3202.56
19/12/2014,3313.75
26/12/2014,3207.09
02/01/2015,3203.9
09/01/2015,3277.96
16/01/2015,3324.97
23/01/2015,3375.88
30/01/2015,3364.85
06/02/2015,3307.47
13/02/2015,3384.1
20/02/2015,3516.33
27/02/2015,3529.71
06/03/2015,3583.55
13/03/2015,3614.36
20/03/2015,3837.6
27/03/2015,3636.19
03/04/2015,3554.15
10/04/2015,3739.19
17/04/2015,3730.39
24/04/2015,3807.67
01/05/2015,3598.33
08/05/2015,3684.23
15/05/2015,3723.82
22/05/2015,3814.36
29/05/2015,3821.68
05/06/2015,3842.44
12/06/2015,3806.39
19/06/2015,3950.48
26/06/2015,3898.94
03/07/2015,3876.15
10/07/2015,3899
17/07/2015,4162.86
24/07/2015,3956.25
31/07/2015,4003.21
07/08/2015,3860.46
14/08/2015,3812.9
21/08/2015,3563.26
28/08/2015,3694.36
04/09/2015,3535.36
11/09/2015,3716.89
18/09/2015,3732.68
25/09/2015,3246.11
02/10/2015,3302.9
09/10/2015,3229.49
16/10/2015,3290.37
23/10/2015,3296.51
30/10/2015,3410.36
06/11/2015,3454.59
13/11/2015,3385.45
20/11/2015,3486.14
27/11/2015,3565.74
04/12/2015,3470.64
11/12/2015,3347.6
18/12/2015,3449.01
25/12/2015,3555.06
01/01/2016,3540.45
08/01/2016,3160.22
15/01/2016,2972.57
22/01/2016,3013.87
29/01/2016,2796.47
05/02/2016,2679.36
12/02/2016,2625.64
19/02/2016,2737.08
26/02/2016,2733.47
04/03/2016,2754.39
11/03/2016,2739.55
18/03/2016,2630.32
25/03/2016,2671.63
01/04/2016,2805.28
08/04/2016,2901.53
15/04/2016,2936.29
22/04/2016,3015.92
29/04/2016,2805.35
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
